full path, filename, sheet, processed result, checked result
./test objects/Homework%20Data%20Ent#A9327.xls, Homework%20Data%20Ent#A9327.xls, Sheet1, Junk
./test objects/Homework%20Data%20Ent#A9327.xls, Homework%20Data%20Ent#A9327.xls, Sheet2, Empty
./test objects/Homework%20Data%20Ent#A9327.xls, Homework%20Data%20Ent#A9327.xls, Sheet3, Empty
./test objects/IE.ICT.TOTL.GD.ZS_Indicator_MetaData_en_EXCEL.xls, IE.ICT.TOTL.GD.ZS_Indicator_MetaData_en_EXCEL.xls, Sheet1, Useful
./test objects/IE.ICT.TOTL.GD.ZS_Indicator_MetaData_en_EXCEL.xls, IE.ICT.TOTL.GD.ZS_Indicator_MetaData_en_EXCEL.xls, Sheet2, Junk
./test objects/Inspection Report.xls, Inspection Report.xls, JaxWorks, Junk
./test objects/Inspection Report.xls, Inspection Report.xls, Inspection Report, Junk
./test objects/Loan Tree.xls, Loan Tree.xls, JaxWorks, Junk
./test objects/Loan Tree.xls, Loan Tree.xls, Loan Approval Qualifier, Junk
./test objects/NAM_Country_MetaData_en_EXCEL.xls, NAM_Country_MetaData_en_EXCEL.xls, Sheet1, Useful
./test objects/NAM_Country_MetaData_en_EXCEL.xls, NAM_Country_MetaData_en_EXCEL.xls, Sheet2, Junk
./test objects/NE.CON.PETC.KN_Indicator_MetaData_en_EXCEL.xls, NE.CON.PETC.KN_Indicator_MetaData_en_EXCEL.xls, Sheet1, Useful
./test objects/NE.CON.PETC.KN_Indicator_MetaData_en_EXCEL.xls, NE.CON.PETC.KN_Indicator_MetaData_en_EXCEL.xls, Sheet2, Junk
./test objects/NYSE.xlsx, NYSE.xlsx, Sheet1, Junk
./test objects/NYSE.xlsx, NYSE.xlsx, Sheet3, Empty
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, MenuP, Empty
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Legal, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Instue, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Ayuda, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Cedulas, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Cap01, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Cap02, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, WCap13, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Wanexo2, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, WCap14, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Cap03, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, OBS, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Valida, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Anexo, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Anexo2, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, TabUbica, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, TabCiiu, Junk
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, TabOrgJ, Useful
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Wcap02, Empty
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Wcap03, Empty
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, WCap04, Empty
./test objects/Peru-EEA_D_Manufactura_2006.xls, Peru-EEA_D_Manufactura_2006.xls, Wcap01, Empty
./test objects/Pete310GradeMAB.xls, Pete310GradeMAB.xls, Exam#1, Junk
./test objects/Pete310GradeMAB.xls, Pete310GradeMAB.xls, Exam#2 , Useful
./test objects/Pete310GradeMAB.xls, Pete310GradeMAB.xls, Exam#3, Empty
./test objects/Pete310GradeMAB.xls, Pete310GradeMAB.xls, 503, Junk
./test objects/Pete310GradeMAB.xls, Pete310GradeMAB.xls, 504, Junk
./test objects/Pete310GradeMAB.xls, Pete310GradeMAB.xls, Graph_exams, Empty
./test objects/Philippines_admin_ARMM.xls, Philippines_admin_ARMM.xls, Philippines_admin_Region1, Junk
./test objects/Pnk_0610.xls, Pnk_0610.xls, Pink Sheet, Useful
./test objects/Quarterly Sales Record.xls, Quarterly Sales Record.xls, JaxWorks, Junk
./test objects/Quarterly Sales Record.xls, Quarterly Sales Record.xls, Quarterly Sales Record, Useful
./test objects/Request For Quotation.xls, Request For Quotation.xls, JaxWorks, Junk
./test objects/Request For Quotation.xls, Request For Quotation.xls, Request For Quotation, Junk
./test objects/SH.DYN.CHLD.MA_Indicator_MetaData_en_EXCEL.xls, SH.DYN.CHLD.MA_Indicator_MetaData_en_EXCEL.xls, Sheet1, Useful
./test objects/SH.DYN.CHLD.MA_Indicator_MetaData_en_EXCEL.xls, SH.DYN.CHLD.MA_Indicator_MetaData_en_EXCEL.xls, Sheet2, Junk
./test objects/Sales Channel Analysis.xls, Sales Channel Analysis.xls, JaxWorks, Junk
./test objects/Sales Channel Analysis.xls, Sales Channel Analysis.xls, Sales Channel Analysis, Useful
./test objects/SectionJ01b_T&M Type.xls, SectionJ01b_T&M Type.xls, T&M Type, Junk
./test objects/SectionJ01b_Total LOE.xls, SectionJ01b_Total LOE.xls, Total LOE, Useful
./test objects/Software_inventory_sheet.xls, Software_inventory_sheet.xls, Sheet1, Junk
./test objects/Software_inventory_sheet.xls, Software_inventory_sheet.xls, Sheet2, Empty
./test objects/Software_inventory_sheet.xls, Software_inventory_sheet.xls, Sheet3, Empty
./test objects/Statement of Cash Flows.xls, Statement of Cash Flows.xls, JaxWorks, Junk
./test objects/Statement of Cash Flows.xls, Statement of Cash Flows.xls, Statement of Cash Flows, Junk
./test objects/T4.Remittance_Estimates_using_Migrant_Stocks_Host_Country_Incomes_and_Sending_Country_Incomes_2010.xls, T4.Remittance_Estimates_using_Migrant_Stocks_Host_Country_Incomes_and_Sending_Country_Incomes_2010.xls, bilatRemit_C, Junk
./test objects/V3_table1.xls, V3_table1.xls, tables (2), Junk
./test objects/WebGrading.xls, WebGrading.xls, Sheet1, Useful
./test objects/WebGrading.xls, WebGrading.xls, Sheet2, Empty
./test objects/WebGrading.xls, WebGrading.xls, Sheet3, Empty
./test objects/adaptivepath_contenti#A7C29.xls, adaptivepath_contenti#A7C29.xls, inventory sample, Junk
./test objects/benjamin_rogers__1084__E2 Investor List.xlsx, benjamin_rogers__1084__E2 Investor List.xlsx, 2000 Peakers, Junk
./test objects/benjamin_rogers__1084__E2 Investor List.xlsx, benjamin_rogers__1084__E2 Investor List.xlsx, Moore, Junk
./test objects/benjamin_rogers__1084__E2 Investor List.xlsx, benjamin_rogers__1084__E2 Investor List.xlsx, Coyote Springs, Junk
./test objects/benjamin_rogers__1084__E2 Investor List.xlsx, benjamin_rogers__1084__E2 Investor List.xlsx, Pittsburgh, Junk
./test objects/benjamin_rogers__1091__E2 Investor List.xlsx, benjamin_rogers__1091__E2 Investor List.xlsx, 2000 Peakers, Junk
./test objects/benjamin_rogers__1091__E2 Investor List.xlsx, benjamin_rogers__1091__E2 Investor List.xlsx, Moore, Junk
./test objects/benjamin_rogers__1091__E2 Investor List.xlsx, benjamin_rogers__1091__E2 Investor List.xlsx, Coyote Springs, Junk
./test objects/benjamin_rogers__1091__E2 Investor List.xlsx, benjamin_rogers__1091__E2 Investor List.xlsx, Pittsburgh, Junk
./test objects/budget.xls, budget.xls, Home, Empty
./test objects/budget.xls, budget.xls, Raising achievements in schools, Junk
./test objects/budget.xls, budget.xls, Improve childrens services, Junk
./test objects/budget.xls, budget.xls, Help young people, Junk
./test objects/budget.xls, budget.xls, Support local business, Junk
./test objects/budget.xls, budget.xls, Easy access to our services, Junk
./test objects/budget.xls, budget.xls, Encourage use of public transpo, Junk
./test objects/budget.xls, budget.xls, Reduce the number of lives lo, Junk
./test objects/budget.xls, budget.xls, Encourage recycle, Junk
./test objects/budget.xls, budget.xls, Help more older people, Junk
./test objects/budget.xls, budget.xls, Maintain our roads, Junk
./test objects/budget.xls, budget.xls, Support communities which need, Junk
./test objects/c274438e-2b33-4e0c-b8c5-c43cb5865e09.xls, c274438e-2b33-4e0c-b8c5-c43cb5865e09.xls, Data, Useful
./test objects/c274438e-2b33-4e0c-b8c5-c43cb5865e09.xls, c274438e-2b33-4e0c-b8c5-c43cb5865e09.xls, Metadata - Countries, Junk
./test objects/c274438e-2b33-4e0c-b8c5-c43cb5865e09.xls, c274438e-2b33-4e0c-b8c5-c43cb5865e09.xls, Metadata - Indicators, Junk
./test objects/chris_germany__1883__nymx.xlsx, chris_germany__1883__nymx.xlsx, 2000, Useful
./test objects/chris_germany__1883__nymx.xlsx, chris_germany__1883__nymx.xlsx, 2001 CG, Useful
./test objects/chris_germany__1883__nymx.xlsx, chris_germany__1883__nymx.xlsx, 2001 JT, Useful
./test objects/craig_dean__4445__Bike to Beach '01.xlsx, craig_dean__4445__Bike to Beach '01.xlsx, Sheet1, Useful
