full path, filename, sheet, processed result, checked result
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, ETE, Junk
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Envt, Junk
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Health, Junk
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, cross panel, Useful
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Road Safety, Junk
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Codes, Junk
./test objects/mark_taylor__24983__Friday Week 2.xlsx, mark_taylor__24983__Friday Week 2.xlsx, Sheet1, Useful
./test objects/mark_taylor__24983__Friday Week 2.xlsx, mark_taylor__24983__Friday Week 2.xlsx, Sheet2, Empty
./test objects/mark_taylor__24983__Friday Week 2.xlsx, mark_taylor__24983__Friday Week 2.xlsx, Sheet3, Empty
./test objects/michelle_lokay__26777__010524al.xlsx, michelle_lokay__26777__010524al.xlsx, LegalSizeRegionLoc, Junk
./test objects/michelle_lokay__26777__010524al.xlsx, michelle_lokay__26777__010524al.xlsx, LetterSizeRegionLoc , Junk
./test objects/monika_causholli__28291__October Flash Report.xlsx, monika_causholli__28291__October Flash Report.xlsx, October, Junk
./test objects/monika_causholli__28291__October Flash Report.xlsx, monika_causholli__28291__October Flash Report.xlsx, .xls)September Template, Useful
./test objects/municipal_waste_treatment_citylevel.xls, municipal_waste_treatment_citylevel.xls, R6_MWtreatment, Useful
./test objects/neocalc.xls, neocalc.xls, JaxWorks, Junk
./test objects/neocalc.xls, neocalc.xls, Start Here, Junk
./test objects/neocalc.xls, neocalc.xls, JaxWorks Break-Even Analysis, Useful
./test objects/neocalc.xls, neocalc.xls, Print Page, Junk
./test objects/neocalc.xls, neocalc.xls, BE Calculations, Useful
./test objects/neocalc.xls, neocalc.xls, Break-Even Analysis Data Entry, Junk
./test objects/neocalc.xls, neocalc.xls, Current BE Chart For Printing, Junk
./test objects/neocalc.xls, neocalc.xls, Projected BE Chart For Printing, Junk
./test objects/neocalc.xls, neocalc.xls, BE Chart Explanation, Junk
./test objects/neocalc.xls, neocalc.xls, Current Pie Chart, Junk
./test objects/neocalc.xls, neocalc.xls, Projected Pie Chart, Junk
./test objects/neocalc.xls, neocalc.xls, Applying Break-Even, Useful
./test objects/neocalc.xls, neocalc.xls, Copyright, Junk
./test objects/p36_Sheet1.xls, p36_Sheet1.xls, Sheet1, Useful
./test objects/phillip_platter__31420__New SC checklist.xlsx, phillip_platter__31420__New SC checklist.xlsx, Sheet1, Junk
./test objects/phillip_platter__31420__New SC checklist.xlsx, phillip_platter__31420__New SC checklist.xlsx, Sheet2, Junk
./test objects/phillip_platter__31420__New SC checklist.xlsx, phillip_platter__31420__New SC checklist.xlsx, Sheet3, Empty
./test objects/ribimv001_Static RoI calc '02.xls, ribimv001_Static RoI calc '02.xls, Static RoI calc '02, Useful
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Sun Dec 10 to 17, Junk
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Sum Nov 29 to Dec 3, Empty
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Sum Nov 22 to 28, Junk
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Sum Nov 15 to 21, Junk
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Sum Nov 8 to 14, Useful
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Sum Nov 1 to 7, Junk
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Daily log - date, Junk
./test objects/rick_buy__32669__Log as of 12 dec 00.xlsx, rick_buy__32669__Log as of 12 dec 00.xlsx, Bridgeline, Junk
./test objects/robin_rodrigue__33215__IMCan_Gas_Bench.xlsx, robin_rodrigue__33215__IMCan_Gas_Bench.xlsx, As Queried from GRMS, Junk
./test objects/robin_rodrigue__33215__IMCan_Gas_Bench.xlsx, robin_rodrigue__33215__IMCan_Gas_Bench.xlsx, GRMS Detail, Junk
./test objects/sara_shackleton__36424__TBVITFund ISDA.xlsx, sara_shackleton__36424__TBVITFund ISDA.xlsx, ANEWSWP2, Junk
./test objects/sara_shackleton__36424__TBVITFund ISDA.xlsx, sara_shackleton__36424__TBVITFund ISDA.xlsx, Baby Credit Form  , Junk
./test objects/sara_shackleton__36424__TBVITFund ISDA.xlsx, sara_shackleton__36424__TBVITFund ISDA.xlsx, Momma Credit Form , Junk
./test objects/sara_shackleton__36424__TBVITFund ISDA.xlsx, sara_shackleton__36424__TBVITFund ISDA.xlsx, Instructions, Junk
./test objects/sara_shackleton__36443__050800pgas.xlsx, sara_shackleton__36443__050800pgas.xlsx, Sheet1, Junk
./test objects/sara_shackleton__36443__050800pgas.xlsx, sara_shackleton__36443__050800pgas.xlsx, Sheet2, Empty
./test objects/sara_shackleton__36443__050800pgas.xlsx, sara_shackleton__36443__050800pgas.xlsx, Sheet3, Empty
./test objects/scott_neal__37937__Stgbkrpt.xlsx, scott_neal__37937__Stgbkrpt.xlsx, Sheet1, Useful
./test objects/tables_Table 1.xls, tables_Table 1.xls, Table 1, Useful
./test objects/tracy_geaccone__40618__1stQTRForePipes.xlsx, tracy_geaccone__40618__1stQTRForePipes.xlsx, Tab 1, Junk
./test objects/yef00_General State Financial Aid.xls, yef00_General State Financial Aid.xls, General State Financial Aid, Useful
